"RelativePath","Title","Status","Reason","OldHero","NewHero","LeadCandidate","LeadLineNumber","FirstHeadingLineNumber","Localized","CaptionMigrated","BodyImageRemoved","Changed","Error"
"content/essays/1929-2029-americas-century-of-humiliation.md","1929-2029: America's Century of Humiliation","SKIPPED_NO_LEAD_CANDIDATE","No body image found.","/images/essays/1929-2029-americas-century-of-humiliation/hero.png","/images/essays/1929-2029-americas-century-of-humiliation/hero.png","",,"16","False","False","False","False",""
"content/essays/2025-supreme-court-wrap-up.md","2025 Supreme Court Wrap-Up","REVIEW_LEAD_OUTSIDE_HEURISTIC","First body image falls outside the lead-image heuristic.","/images/medium/2025-supreme-court-wrap-up/68599305e3376636d034277eda9d7b37f1a1108500a77c949f8d8d200d531095.png","/images/medium/2025-supreme-court-wrap-up/68599305e3376636d034277eda9d7b37f1a1108500a77c949f8d8d200d531095.png","https://cdn-images-1.medium.com/max/800/0*8h6rOFehpOBPvqzO","18","14","False","False","False","True",""
"content/essays/35-years-of-yellow-the-simpsons-time-loop.md","35 Years of Yellow: The Simpsons Time Loop","REVIEW_LEAD_OUTSIDE_HEURISTIC","First body image falls outside the lead-image heuristic.","/images/medium/35-years-of-yellow-the-simpsons-time-loop/57d2e2573cdbc659261cd4a869b43321fa96cd36a2a4f92c0efd3357c04c0318.png","/images/medium/35-years-of-yellow-the-simpsons-time-loop/57d2e2573cdbc659261cd4a869b43321fa96cd36a2a4f92c0efd3357c04c0318.png","https://cdn-images-1.medium.com/max/800/1*-9_wCAtWCE45n_ZZrH4BXA.png","36","32","False","False","False","False",""
"content/essays/6-reasons-redwall-is-a-timeless-classic.md","6 Reasons Redwall Is a Timeless Classic","REVIEW_LEAD_OUTSIDE_HEURISTIC","First body image falls outside the lead-image heuristic.","/images/medium/6-reasons-redwall-is-a-timeless-classic/4271248be82b271445e30852312a06bfbd54c7d1ddb8205fa5328aa8215900d8.jpeg","/images/medium/6-reasons-redwall-is-a-timeless-classic/4271248be82b271445e30852312a06bfbd54c7d1ddb8205fa5328aa8215900d8.jpeg","https://cdn-images-1.medium.com/max/800/1*sBGu46bvmRAY2c2TlI6nIA@2x.jpeg","8","6","False","False","False","False",""
"content/essays/8-big-questions-everyone-has-about-pope-leo-xiv.md","8 Big Questions Everyone Has About Pope Leo XIV","SKIPPED_NO_LEAD_CANDIDATE","No body image found.","/images/medium/8-big-questions-everyone-has-about-pope-leo-xiv/01d9124061df2074cc801a8c98cc8e9a3c44109e0dfa7405dc763bea63374476.jpeg","/images/medium/8-big-questions-everyone-has-about-pope-leo-xiv/01d9124061df2074cc801a8c98cc8e9a3c44109e0dfa7405dc763bea63374476.jpeg","",,"37","False","False","False","False",""
"content/essays/a-really-boring-topic.md","A Really Boring Topic","SKIPPED_CURRENT_HERO_WINS","Essay already has a non-placeholder hero.","/images/medium/a-really-boring-topic/21d0ba8af1bb61e16314860a6882761060c73a13546554cb1749d975d65bea8e.jpeg","/images/medium/a-really-boring-topic/21d0ba8af1bb61e16314860a6882761060c73a13546554cb1749d975d65bea8e.jpeg","https://cdn-images-1.medium.com/max/800/1*XtCMG4PL0QlPvGDNjlLSdQ@2x.jpeg","12",,"False","False","False","False",""
"content/essays/ai-in-education-is-a-wicked-problem.md","AI in Education Is a Wicked Problem","REVIEW_LEAD_OUTSIDE_HEURISTIC","First body image falls outside the lead-image heuristic.","/images/medium/ai-in-education-is-a-wicked-problem/5259adbea4308247944f02e7e6be83966064aba054b2c1a011a826f60635f8ba.png","/images/medium/ai-in-education-is-a-wicked-problem/5259adbea4308247944f02e7e6be83966064aba054b2c1a011a826f60635f8ba.png","https://cdn-images-1.medium.com/max/800/1*1uSh6N8hLgHGHMtFH5vvww.png","48","2","False","False","False","False",""
"content/essays/altmans-law.md","Altman’s Law","REVIEW_LEAD_OUTSIDE_HEURISTIC","First body image falls outside the lead-image heuristic.","/images/medium/altmans-law/c294e8d769c14dca54d5f71366a7f665406be3eac44117aab1579e78cd8cfd27.jpg","/images/medium/altmans-law/c294e8d769c14dca54d5f71366a7f665406be3eac44117aab1579e78cd8cfd27.jpg","https://cdn-images-1.medium.com/max/800/0*7tz6Y_lujClGre4T","23",,"False","False","False","False",""
"content/essays/american-household-debt.md","American Household Debt","SKIPPED_NO_LEAD_CANDIDATE","No body image found.","","","",,,"False","False","False","False",""
"content/essays/are-we-alone.md","Are We Alone?","REVIEW_LEAD_OUTSIDE_HEURISTIC","First body image falls outside the lead-image heuristic.","/images/medium/are-we-alone/1ce3cc8b74c5eaf2a0c196b0336516bcb69d3d1d42136c3b9004a643582074e6.jpeg","/images/medium/are-we-alone/1ce3cc8b74c5eaf2a0c196b0336516bcb69d3d1d42136c3b9004a643582074e6.jpeg","https://cdn-images-1.medium.com/max/800/1*yq66N7WRxTsuTWmB9pjYTw@2x.jpeg","50",,"False","False","False","False",""
"content/essays/benjamin-franklin-how-americas-funniest-founder-made-greatness-feel-possible.md","Benjamin Franklin: How America’s Funniest Founder Made Greatness Feel Possible","REVIEW_LEAD_OUTSIDE_HEURISTIC","First body image falls outside the lead-image heuristic.","/images/medium/benjamin-franklin-how-americas-funniest-founder-made-greatness-feel-possible/60260729069245aec2c2513ff114e881be68451fae1ca363432ab40d1bdaab17.jpeg","/images/medium/benjamin-franklin-how-americas-funniest-founder-made-greatness-feel-possible/60260729069245aec2c2513ff114e881be68451fae1ca363432ab40d1bdaab17.jpeg","https://cdn-images-1.medium.com/max/800/1*Y0uFsH585mD8uOULMYkfLQ.png","20","2","False","False","False","False",""
"content/essays/beyond-moores-law.md","Beyond Moore’s Law","SKIPPED_CURRENT_HERO_WINS","Essay already has a non-placeholder hero.","/images/medium/beyond-moores-law/2aae02b62e26713f72883871ed81f0a57d570de577814ea1767fd1f55bcda440.jpeg","/images/medium/beyond-moores-law/2aae02b62e26713f72883871ed81f0a57d570de577814ea1767fd1f55bcda440.jpeg","https://cdn-images-1.medium.com/max/800/1*mggL0TnihFhB1cmaacRiPA@2x.jpeg","1",,"False","False","False","False",""
