"path","title","section","date","imported","featured","start_here_direct","collection_start_here","featured_collection_member","priority_score","severity_score","cleanup_score","batch","risk_tier","status","manual_review","has_medium_cta","has_author_note","has_embed_remnants","has_encoding_damage","has_manual_bullets","has_pseudo_headings","has_source_dump","has_duplicated_title","has_separator_residue"
"essays/2025-supreme-court-wrap-up.md","2025 Supreme Court Wrap-Up","essays","2025-07-01","True","False","False","False","True","23","3","26","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","True","False","False","False","False"
"essays/35-years-of-yellow-the-simpsons-time-loop.md","35 Years of Yellow: The Simpsons Time Loop","essays","2025-07-01","True","False","False","False","True","23","8","31","batch_3","MANUAL_FIRST","READY_MANUAL_FIRST","True","False","False","False","False","True","True","False","False","True"
"essays/6-reasons-redwall-is-a-timeless-classic.md","6 Reasons Redwall Is a Timeless Classic","essays","2025-02-20","True","False","False","False","True","23","3","26","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","False","True","False","False","False"
"essays/8-big-questions-everyone-has-about-pope-leo-xiv.md","8 Big Questions Everyone Has About Pope Leo XIV","essays","2025-07-10","True","False","False","False","True","23","0","23","clean",,"CLEAN","False","False","False","False","False","False","False","False","False","False"
"essays/a-really-boring-topic.md","A Really Boring Topic","essays","2025-01-14","True","False","False","False","True","23","9","32","batch_3","MANUAL_FIRST","READY_MANUAL_FIRST","True","False","False","False","False","True","True","False","True","False"
"essays/ai-in-education-is-a-wicked-problem.md","AI in Education Is a Wicked Problem","essays","2026-01-21","True","False","False","False","True","23","5","28","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","False","True","False","False","True"
"essays/altmans-law.md","Altman’s Law","essays","2025-02-10","True","False","False","False","True","23","10","33","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","True","False","False","False","False","True","False","True","False"
"essays/american-household-debt.md","American Household Debt","essays","2024-12-09","True","False","False","False","True","18","6","24","batch_3","MANUAL_FIRST","READY_MANUAL_FIRST","True","False","False","False","False","True","True","False","False","False"
"essays/are-we-alone.md","Are We Alone?","essays","2025-02-14","True","False","False","False","True","23","6","29","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","True","True","False","False","False"
"essays/benjamin-franklin-how-americas-funniest-founder-made-greatness-feel-possible.md","Benjamin Franklin: How America’s Funniest Founder Made Greatness Feel Possible","essays","2025-07-08","True","False","False","False","True","23","5","28","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","False","True","False","False","True"
"essays/beyond-moores-law.md","Beyond Moore’s Law","essays","2025-01-23","True","False","False","False","True","23","5","28","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","False","True","True","False","False"
"essays/bidens-strategic-oil-reserve-gamble-smart-move-or-national-security-risk.md","Biden’s Strategic Oil Reserve Gamble: Smart Move or National Security Risk?","essays","2025-03-18","True","False","False","False","True","23","6","29","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","True","True","False","False","False"
"essays/biter-the-slang-word-that-hits.md","Biter","essays","2025-05-09","True","False","False","False","True","23","9","32","batch_3","MANUAL_FIRST","READY_MANUAL_FIRST","True","False","False","False","False","True","True","False","True","False"
"essays/building-for-centuries-not-election-cycles.md","Building for Centuries Not Election Cycles","essays","2025-02-24","True","False","False","False","True","23","6","29","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","True","True","False","False","False"
"essays/camp-mystic-evacuation-timeline-guadalupe-river-flash-flood-july-4-2025.md","Camp Mystic Evacuation Timeline ~ Guadalupe River Flash Flood (July 4, 2025)","essays","2025-09-07","True","False","False","False","True","23","7","30","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","True","False","True","False","False","False","False"
"essays/cpi-report-economic-analysis.md","CPI Report Economic Analysis","essays","2024-12-11","True","False","False","False","True","18","8","26","batch_3","MANUAL_FIRST","READY_MANUAL_FIRST","True","False","False","False","False","True","True","True","False","False"
"essays/cuomo-vs-mamdani-nyc-2025.md","The 2025 New York City Democratic Mayoral Primary","essays","2025-06-24","True","False","False","False","True","23","0","23","clean",,"CLEAN","False","False","False","False","False","False","False","False","False","False"
"essays/david-attenborough-how-one-quiet-voice-made-the-whole-world-listen.md","David Attenborough: How One Quiet Voice Made the Whole World Listen","essays","2025-06-05","True","False","False","False","True","23","3","26","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","False","True","False","False","False"
"essays/declaring-equality.md","Declaring Equality?","essays","2025-01-18","True","False","False","False","True","23","6","29","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","True","True","False","False","False"
"essays/deepseek-lean-ai-disrupts-americas-compute-heavy-tech-giants.md","DeepSeek: Lean AI Disrupts America’s Compute-Heavy Tech Giants","essays","2025-01-29","True","False","False","False","True","23","5","28","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","False","True","True","False","False"
"essays/deference-lost.md","Deference Lost","essays","2025-02-15","True","False","False","False","True","23","5","28","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","False","True","True","False","False"
"essays/dirt-is-better-than-air.md","Dirt Is Better Than Air","essays","2025-04-27","True","False","False","False","True","23","7","30","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","True","False","False","False","False","True","False","False","False"
"essays/elon-musk-doge-and-the-five-bullet-email-how-gwes-became-a-federal-workforce-loyalty-test.md","Elon Musk, DOGE, and the Five-Bullet Email: How GWES Became a Federal Workforce Loyalty Test","essays","2025-02-25","True","False","False","False","True","23","3","26","batch_3","MANUAL_LIGHT","READY_MANUAL_LIGHT","True","False","False","False","False","False","True","False","False","False"
