article_id,publication_year,journal_name,title,classification,classification_note,matched_rules,baseline_or_bau_signal,stress_case_signal,high_emissions_signal,projection_signal,default_future_signal,core_terms,manual_review_status,manual_review_notes
https://openalex.org/W1997065014,2011,Climatic Change,RCP 8.5—A scenario of comparatively high greenhouse gas emissions,high_emissions_clear,Explicitly frames RCP8.5 as high-emissions or high-concentration.,high_emissions_signal;projection_signal,False,False,True,True,False,radiative_forcing;rcp85;representative_concentration_pathway,not_reviewed,
https://openalex.org/W2171984413,2011,Climatic Change,The RCP greenhouse gas concentrations and their extensions from 1765 to 2300,ambiguous_projection,"Uses scenario/projection/model language but does not clearly state baseline, stress-case, high-emissions, or default-future framing in title/abstract.",projection_signal;default_future_signal,False,False,False,True,True,radiative_forcing;rcp85;representative_concentration_pathway,not_reviewed,
https://openalex.org/W2078529209,2012,Climatic Change,Climate change hotspots in the CMIP5 global climate model ensemble,ambiguous_projection,"Uses scenario/projection/model language but does not clearly state baseline, stress-case, high-emissions, or default-future framing in title/abstract.",projection_signal,False,False,False,True,False,rcp85,not_reviewed,
https://openalex.org/W2116898223,2013,Climatic Change,Expert assessment of vulnerability of permafrost carbon to climate change,ambiguous_projection,"Uses scenario/projection/model language but does not clearly state baseline, stress-case, high-emissions, or default-future framing in title/abstract.",projection_signal;default_future_signal,False,False,False,True,True,rcp85,not_reviewed,
https://openalex.org/W2099866373,2013,Climatic Change,The global-scale impacts of climate change on water resources and flooding under new climate and socio-economic scenarios,ambiguous_projection,"Uses scenario/projection/model language but does not clearly state baseline, stress-case, high-emissions, or default-future framing in title/abstract.",projection_signal;default_future_signal,False,False,False,True,True,rcp85;representative_concentration_pathway,not_reviewed,
https://openalex.org/W2167951186,2013,Environmental Research Letters,Future changes in atmospheric rivers and their implications for winter flooding in Britain,high_emissions_clear,Explicitly frames RCP8.5 as high-emissions or high-concentration.,high_emissions_signal;projection_signal;default_future_signal,False,False,True,True,True,radiative_forcing;rcp85,not_reviewed,
https://openalex.org/W2123626997,2013,Environmental Research Letters,Impact of climate change on renewable groundwater resources: assessing the benefits of avoided greenhouse gas emissions using selected CMIP5 climate projections,ambiguous_projection,"Uses scenario/projection/model language but does not clearly state baseline, stress-case, high-emissions, or default-future framing in title/abstract.",projection_signal,False,False,False,True,False,rcp85,not_reviewed,
https://openalex.org/W1965663041,2013,Environmental Research Letters,Risks to coral reefs from ocean carbonate chemistry changes in recent earth system model projections,baseline_or_bau,"Explicitly frames RCP8.5 as business-as-usual, baseline, reference, no-policy, or comparable default/reference case.",baseline_or_bau_signal;projection_signal,True,False,False,True,False,rcp85,not_reviewed,
https://openalex.org/W2168515722,2013,Regional Environmental Change,EURO-CORDEX: new high-resolution climate change projections for European impact research,ambiguous_projection,"Uses scenario/projection/model language but does not clearly state baseline, stress-case, high-emissions, or default-future framing in title/abstract.",projection_signal,False,False,False,True,False,rcp85,not_reviewed,
https://openalex.org/W2075316412,2014,Climatic Change,Future changes of the terrestrial ecosystem based on a dynamic vegetation model driven with RCP8.5 climate projections from 19 GCMs,ambiguous_projection,"Uses scenario/projection/model language but does not clearly state baseline, stress-case, high-emissions, or default-future framing in title/abstract.",projection_signal,False,False,False,True,False,rcp85,not_reviewed,
