"slug","title","source_url","attempted_url","local_path","hash","sha256","width","height","status","reason","rejection_reason","caption","anchor","candidate_source","source_report","placement_method","placement_score","fallback_caption_used"
"6-reasons-redwall-is-a-timeless-classic","6 Reasons Redwall Is a Timeless Classic","https://cdn-images-1.medium.com/max/800/1*G8JHcb65GDYjffre1nbdMg@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*G8JHcb65GDYjffre1nbdMg@2x.jpeg","","4271248be82b271445e30852312a06bfbd54c7d1ddb8205fa5328aa8215900d8","4271248be82b271445e30852312a06bfbd54c7d1ddb8205fa5328aa8215900d8","800","533","skipped","duplicate_existing_or_featured_image_hash","duplicate_existing_or_featured_image_hash","Photo by Jonas Jacobsson on Unsplash","","git_history","","","0","False"
"6-reasons-redwall-is-a-timeless-classic","6 Reasons Redwall Is a Timeless Classic","https://cdn-images-1.medium.com/max/800/1*FGYvs4LsEWA22wdEilYGQg@2x.jpeg","","","","","0","0","skipped","current_body_quota_met","current_body_quota_met","Photo by Mario La Pergola on Unsplash","### Conclusion: Why Redwall Endures","git_history","","","0","False"
"6-reasons-redwall-is-a-timeless-classic","6 Reasons Redwall Is a Timeless Classic","https://cdn-images-1.medium.com/max/800/1*RB97EL8QdBX5U3tRXsRy6w@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*RB97EL8QdBX5U3tRXsRy6w@2x.jpeg","/images/medium/6-reasons-redwall-is-a-timeless-classic/b52aef273a9fc9c0340313d907efac2d0185612abddc3d4d3e89b4a412260c66.jpeg","b52aef273a9fc9c0340313d907efac2d0185612abddc3d4d3e89b4a412260c66","b52aef273a9fc9c0340313d907efac2d0185612abddc3d4d3e89b4a412260c66","800","533","inserted","","","Photo by Hannah Busing on Unsplash","### A Strong Sense of Community: Why Redwall Endures as a Classic Fantasy Novel","git_history","","section_order_fallback","0","False"
"6-reasons-redwall-is-a-timeless-classic","6 Reasons Redwall Is a Timeless Classic","https://cdn-images-1.medium.com/max/800/1*aPsbjX2DKOSNFPNN8z7pvA@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*aPsbjX2DKOSNFPNN8z7pvA@2x.jpeg","/images/medium/6-reasons-redwall-is-a-timeless-classic/621063bb11996975b4fd27b4b1c84bab65b8d40f5551380e02b282dd1d49cde7.jpeg","621063bb11996975b4fd27b4b1c84bab65b8d40f5551380e02b282dd1d49cde7","621063bb11996975b4fd27b4b1c84bab65b8d40f5551380e02b282dd1d49cde7","800","533","inserted","","","Photo by Glen Carrie on Unsplash","### Vivid and Lyrical Writing: The Language of Redwall That Brings Its World to Life","git_history","","section_order_fallback","0","False"
"6-reasons-redwall-is-a-timeless-classic","6 Reasons Redwall Is a Timeless Classic","https://cdn-images-1.medium.com/max/800/1*fDUH9Fx2t4n4GYAmVoSlBQ@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*fDUH9Fx2t4n4GYAmVoSlBQ@2x.jpeg","/images/medium/6-reasons-redwall-is-a-timeless-classic/287b7cc61fc4868e61eb3c53430870fb32e9df050b6aa1468645d997c240cbae.jpeg","287b7cc61fc4868e61eb3c53430870fb32e9df050b6aa1468645d997c240cbae","287b7cc61fc4868e61eb3c53430870fb32e9df050b6aa1468645d997c240cbae","800","985","inserted","","","Photo by Elena Mozhvilo on Unsplash","### A Clear but Complex Morality: How Redwall Explores Right and Wrong","git_history","","section_order_fallback","0","False"
"6-reasons-redwall-is-a-timeless-classic","6 Reasons Redwall Is a Timeless Classic","https://cdn-images-1.medium.com/max/800/1*3hG7PldGuBvZ1-7M9Ah_ZA@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*3hG7PldGuBvZ1-7M9Ah_ZA@2x.jpeg","/images/medium/6-reasons-redwall-is-a-timeless-classic/14abd852c5edd58b5d03b8e558835e9a3701d6307d564a16de0fd6b54565cc78.jpeg","14abd852c5edd58b5d03b8e558835e9a3701d6307d564a16de0fd6b54565cc78","14abd852c5edd58b5d03b8e558835e9a3701d6307d564a16de0fd6b54565cc78","800","533","inserted","","","Photo by Terry Tran on Unsplash","### A Compelling Villain: Cluny the Scourge and Why Redwall’s Antagonists Stand Out","git_history","","section_order_fallback","0","False"
"6-reasons-redwall-is-a-timeless-classic","6 Reasons Redwall Is a Timeless Classic","https://cdn-images-1.medium.com/max/800/1*dSRoOZrMhZIYL6PgMAA1EQ@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*dSRoOZrMhZIYL6PgMAA1EQ@2x.jpeg","/images/medium/6-reasons-redwall-is-a-timeless-classic/208e789e482ae2d870d1b120c3e8f269768eb27814d9063a67159011f4d69921.jpeg","208e789e482ae2d870d1b120c3e8f269768eb27814d9063a67159011f4d69921","208e789e482ae2d870d1b120c3e8f269768eb27814d9063a67159011f4d69921","800","533","inserted","","","Photo by Ricardo Cruz on Unsplash","### A Hero’s Journey That Feels Earned: Why Matthias Is One of Fantasy’s Best Protagonists","git_history","","section_order_fallback","0","False"
"6-reasons-redwall-is-a-timeless-classic","6 Reasons Redwall Is a Timeless Classic","https://cdn-images-1.medium.com/max/800/1*sBGu46bvmRAY2c2TlI6nIA@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*sBGu46bvmRAY2c2TlI6nIA@2x.jpeg","/images/medium/6-reasons-redwall-is-a-timeless-classic/1cc9b0d15d63a7509c9534714e9c67c66d67c8040a10b3e45287a5753b5da20e.jpeg","1cc9b0d15d63a7509c9534714e9c67c66d67c8040a10b3e45287a5753b5da20e","1cc9b0d15d63a7509c9534714e9c67c66d67c8040a10b3e45287a5753b5da20e","800","1200","inserted","","","Photo by Brooke Lark on Unsplash","### Immersive World-Building: How Redwall Creates a Fantasy Worth Revisiting","git_history","","section_order_fallback","0","False"
"declaring-equality","Declaring Equality?","https://cdn-images-1.medium.com/max/800/1*OCK_rXXX8EVISAlZKTGAjw@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*OCK_rXXX8EVISAlZKTGAjw@2x.jpeg","","36a21b68974f610407cb4fd9666bdeecd27ab9e1b48d614f50114a4aa8344c3d","36a21b68974f610407cb4fd9666bdeecd27ab9e1b48d614f50114a4aa8344c3d","800","457","skipped","duplicate_existing_or_featured_image_hash","duplicate_existing_or_featured_image_hash","Image Generated by Author from Chat GPT","","git_history","","","0","False"
"deepseek-lean-ai-disrupts-americas-compute-heavy-tech-giants","DeepSeek: Lean AI Disrupts America’s Compute-Heavy Tech Giants","https://cdn-images-1.medium.com/max/800/1*vck7W_90Lcy-BQT_yX7y7g@2x.jpeg","https://cdn-images-1.medium.com/max/800/1*vck7W_90Lcy-BQT_yX7y7g@2x.jpeg","","bd004c2ef628161dabf422814a612a5ec128b8ab922e1e9015faea0e3ae8ef49","bd004c2ef628161dabf422814a612a5ec128b8ab922e1e9015faea0e3ae8ef49","800","800","skipped","duplicate_existing_or_featured_image_hash","duplicate_existing_or_featured_image_hash","Created using Chat GPT in January, 2025.","","git_history","","","0","False"
